GENRE,OCCURANCE
Romance,38411
Biography,12608
Drama,136768
\N,69484
Crime,22387
Adventure,20263
Fantasy,8352
Comedy,45680
Drama,61310
War,8399
Documentary,80976
Crime,9328
Family,11734
History,9208
Sci-Fi,9853
Documentary,19147
History,2997
Thriller,36200
Adventure,4946
Western,6782
Comedy,49227
Short,37
Sport,5691
Mystery,8949
Biography,1967
Fantasy,4329
Horror,19019
Action,35087
Music,1552
Action,12713
Horror,10505
Mystery,5102
Family,3593
Romance,2880
Thriller,341
Animation,3999
Music,8771
Animation,3147
War,46
Musical,7245
Sport,56
Film-Noir,581
Musical,2069
Film-Noir,184
Sci-Fi,1704
News,1386
Adult,11
Reality-TV,264
Adult,8
Game-Show,16
News,64
Short,5
Reality-TV,16
Talk-Show,106
Game-Show,1
